מחלקה,שנה,טווח_ציונים,מספר_סטודנטים
המחלקה להנדסת חשמל ומחשבים,2021,65-70,0
המחלקה להנדסת חשמל ומחשבים,2021,70-75,20
המחלקה להנדסת חשמל ומחשבים,2021,75-80,61
המחלקה להנדסת חשמל ומחשבים,2021,80-85,98
המחלקה להנדסת חשמל ומחשבים,2021,85-90,28
המחלקה להנדסת חשמל ומחשבים,2021,90-95,6
המחלקה להנדסת חשמל ומחשבים,2021,95-100,0
המחלקה להנדסת חשמל ומחשבים,2022,65-70,0
המחלקה להנדסת חשמל ומחשבים,2022,70-75,22
המחלקה להנדסת חשמל ומחשבים,2022,75-80,88
המחלקה להנדסת חשמל ומחשבים,2022,80-85,57
המחלקה להנדסת חשמל ומחשבים,2022,85-90,26
המחלקה להנדסת חשמל ומחשבים,2022,90-95,13
המחלקה להנדסת חשמל ומחשבים,2022,95-100,0
המחלקה להנדסת חשמל ומחשבים,2023,65-70,1
המחלקה להנדסת חשמל ומחשבים,2023,70-75,34
המחלקה להנדסת חשמל ומחשבים,2023,75-80,53
המחלקה להנדסת חשמל ומחשבים,2023,80-85,81
המחלקה להנדסת חשמל ומחשבים,2023,85-90,37
המחלקה להנדסת חשמל ומחשבים,2023,90-95,4
המחלקה להנדסת חשמל ומחשבים,2023,95-100,3
המחלקה להנדסת חשמל ומחשבים,2024,65-70,0
המחלקה להנדסת חשמל ומחשבים,2024,70-75,17
המחלקה להנדסת חשמל ומחשבים,2024,75-80,70
המחלקה להנדסת חשמל ומחשבים,2024,80-85,86
המחלקה להנדסת חשמל ומחשבים,2024,85-90,38
המחלקה להנדסת חשמל ומחשבים,2024,90-95,9
המחלקה להנדסת חשמל ומחשבים,2024,95-100,1
הנדסה ביורפואית,2021,65-70,0
הנדסה ביורפואית,2021,70-75,0
הנדסה ביורפואית,2021,75-80,2
הנדסה ביורפואית,2021,80-85,7
הנדסה ביורפואית,2021,85-90,2
הנדסה ביורפואית,2021,90-95,1
הנדסה ביורפואית,2021,95-100,0
הנדסה ביורפואית,2022,65-70,0
הנדסה ביורפואית,2022,70-75,1
הנדסה ביורפואית,2022,75-80,9
הנדסה ביורפואית,2022,80-85,12
הנדסה ביורפואית,2022,85-90,6
הנדסה ביורפואית,2022,90-95,1
הנדסה ביורפואית,2022,95-100,0
הנדסה ביורפואית,2023,65-70,0
הנדסה ביורפואית,2023,70-75,0
הנדסה ביורפואית,2023,75-80,5
הנדסה ביורפואית,2023,80-85,16
הנדסה ביורפואית,2023,85-90,5
הנדסה ביורפואית,2023,90-95,1
הנדסה ביורפואית,2023,95-100,0
הנדסה ביורפואית,2024,65-70,0
הנדסה ביורפואית,2024,70-75,0
הנדסה ביורפואית,2024,75-80,13
הנדסה ביורפואית,2024,80-85,25
הנדסה ביורפואית,2024,85-90,15
הנדסה ביורפואית,2024,90-95,2
הנדסה ביורפואית,2024,95-100,0
הנדסה כימית,2021,65-70,0
הנדסה כימית,2021,70-75,0
הנדסה כימית,2021,75-80,14
הנדסה כימית,2021,80-85,19
הנדסה כימית,2021,85-90,3
הנדסה כימית,2021,90-95,3
הנדסה כימית,2021,95-100,0
הנדסה כימית,2022,65-70,0
הנדסה כימית,2022,70-75,0
הנדסה כימית,2022,75-80,10
הנדסה כימית,2022,80-85,17
הנדסה כימית,2022,85-90,9
הנדסה כימית,2022,90-95,1
הנדסה כימית,2022,95-100,0
הנדסה כימית,2023,65-70,0
הנדסה כימית,2023,70-75,1
הנדסה כימית,2023,75-80,7
הנדסה כימית,2023,80-85,16
הנדסה כימית,2023,85-90,9
הנדסה כימית,2023,90-95,2
הנדסה כימית,2023,95-100,0
הנדסה כימית,2024,65-70,0
הנדסה כימית,2024,70-75,0
הנדסה כימית,2024,75-80,13
הנדסה כימית,2024,80-85,24
הנדסה כימית,2024,85-90,12
הנדסה כימית,2024,90-95,2
הנדסה כימית,2024,95-100,0
הנדסת ביוטכנולוגיה,2021,65-70,0
הנדסת ביוטכנולוגיה,2021,70-75,1
הנדסת ביוטכנולוגיה,2021,75-80,11
הנדסת ביוטכנולוגיה,2021,80-85,12
הנדסת ביוטכנולוגיה,2021,85-90,11
הנדסת ביוטכנולוגיה,2021,90-95,2
הנדסת ביוטכנולוגיה,2021,95-100,0
הנדסת ביוטכנולוגיה,2022,65-70,0
הנדסת ביוטכנולוגיה,2022,70-75,0
הנדסת ביוטכנולוגיה,2022,75-80,13
הנדסת ביוטכנולוגיה,2022,80-85,21
הנדסת ביוטכנולוגיה,2022,85-90,10
הנדסת ביוטכנולוגיה,2022,90-95,2
הנדסת ביוטכנולוגיה,2022,95-100,0
הנדסת ביוטכנולוגיה,2023,65-70,0
הנדסת ביוטכנולוגיה,2023,70-75,0
הנדסת ביוטכנולוגיה,2023,75-80,7
הנדסת ביוטכנולוגיה,2023,80-85,21
הנדסת ביוטכנולוגיה,2023,85-90,12
הנדסת ביוטכנולוגיה,2023,90-95,2
הנדסת ביוטכנולוגיה,2023,95-100,0
הנדסת ביוטכנולוגיה,2024,65-70,0
הנדסת ביוטכנולוגיה,2024,70-75,0
הנדסת ביוטכנולוגיה,2024,75-80,8
הנדסת ביוטכנולוגיה,2024,80-85,23
הנדסת ביוטכנולוגיה,2024,85-90,15
הנדסת ביוטכנולוגיה,2024,90-95,1
הנדסת ביוטכנולוגיה,2024,95-100,0
הנדסת בניין,2021,65-70,0
הנדסת בניין,2021,70-75,1
הנדסת בניין,2021,75-80,16
הנדסת בניין,2021,80-85,46
הנדסת בניין,2021,85-90,32
הנדסת בניין,2021,90-95,2
הנדסת בניין,2021,95-100,0
הנדסת בניין,2022,65-70,0
הנדסת בניין,2022,70-75,2
הנדסת בניין,2022,75-80,14
הנדסת בניין,2022,80-85,32
הנדסת בניין,2022,85-90,39
הנדסת בניין,2022,90-95,8
הנדסת בניין,2022,95-100,1
הנדסת בניין,2023,65-70,0
הנדסת בניין,2023,70-75,1
הנדסת בניין,2023,75-80,17
הנדסת בניין,2023,80-85,44
הנדסת בניין,2023,85-90,31
הנדסת בניין,2023,90-95,7
הנדסת בניין,2023,95-100,1
הנדסת בניין,2024,65-70,0
הנדסת בניין,2024,70-75,0
הנדסת בניין,2024,75-80,23
הנדסת בניין,2024,80-85,57
הנדסת בניין,2024,85-90,34
הנדסת בניין,2024,90-95,4
הנדסת בניין,2024,95-100,1
הנדסת חומרים,2021,65-70,0
הנדסת חומרים,2021,70-75,1
הנדסת חומרים,2021,75-80,12
הנדסת חומרים,2021,80-85,18
הנדסת חומרים,2021,85-90,18
הנדסת חומרים,2021,90-95,2
הנדסת חומרים,2021,95-100,0
הנדסת חומרים,2022,65-70,0
הנדסת חומרים,2022,70-75,1
הנדסת חומרים,2022,75-80,3
הנדסת חומרים,2022,80-85,22
הנדסת חומרים,2022,85-90,12
הנדסת חומרים,2022,90-95,7
הנדסת חומרים,2022,95-100,1
הנדסת חומרים,2023,65-70,0
הנדסת חומרים,2023,70-75,0
הנדסת חומרים,2023,75-80,6
הנדסת חומרים,2023,80-85,21
הנדסת חומרים,2023,85-90,17
הנדסת חומרים,2023,90-95,4
הנדסת חומרים,2023,95-100,0
הנדסת חומרים,2024,65-70,0
הנדסת חומרים,2024,70-75,0
הנדסת חומרים,2024,75-80,15
הנדסת חומרים,2024,80-85,30
הנדסת חומרים,2024,85-90,16
הנדסת חומרים,2024,90-95,6
הנדסת חומרים,2024,95-100,0
הנדסת מחשבים,2021,65-70,0
הנדסת מחשבים,2021,70-75,0
הנדסת מחשבים,2021,75-80,6
הנדסת מחשבים,2021,80-85,12
הנדסת מחשבים,2021,85-90,0
הנדסת מחשבים,2021,90-95,2
הנדסת מחשבים,2021,95-100,0
הנדסת מחשבים,2022,65-70,0
הנדסת מחשבים,2022,70-75,2
הנדסת מחשבים,2022,75-80,5
הנדסת מחשבים,2022,80-85,11
הנדסת מחשבים,2022,85-90,4
הנדסת מחשבים,2022,90-95,1
הנדסת מחשבים,2022,95-100,0
הנדסת מחשבים,2023,65-70,0
הנדסת מחשבים,2023,70-75,4
הנדסת מחשבים,2023,75-80,1
הנדסת מחשבים,2023,80-85,8
הנדסת מחשבים,2023,85-90,4
הנדסת מחשבים,2023,90-95,0
הנדסת מחשבים,2023,95-100,0
הנדסת מחשבים,2024,65-70,0
הנדסת מחשבים,2024,70-75,0
הנדסת מחשבים,2024,75-80,6
הנדסת מחשבים,2024,80-85,11
הנדסת מחשבים,2024,85-90,3
הנדסת מחשבים,2024,90-95,0
הנדסת מחשבים,2024,95-100,0
הנדסת מכונות,2021,65-70,0
הנדסת מכונות,2021,70-75,6
הנדסת מכונות,2021,75-80,46
הנדסת מכונות,2021,80-85,63
הנדסת מכונות,2021,85-90,34
הנדסת מכונות,2021,90-95,8
הנדסת מכונות,2021,95-100,1
הנדסת מכונות,2022,65-70,0
הנדסת מכונות,2022,70-75,11
הנדסת מכונות,2022,75-80,39
הנדסת מכונות,2022,80-85,61
הנדסת מכונות,2022,85-90,44
הנדסת מכונות,2022,90-95,15
הנדסת מכונות,2022,95-100,1
הנדסת מכונות,2023,65-70,0
הנדסת מכונות,2023,70-75,4
הנדסת מכונות,2023,75-80,36
הנדסת מכונות,2023,80-85,47
הנדסת מכונות,2023,85-90,40
הנדסת מכונות,2023,90-95,12
הנדסת מכונות,2023,95-100,0
הנדסת מכונות,2024,65-70,0
הנדסת מכונות,2024,70-75,2
הנדסת מכונות,2024,75-80,64
הנדסת מכונות,2024,80-85,75
הנדסת מכונות,2024,85-90,61
הנדסת מכונות,2024,90-95,16
הנדסת מכונות,2024,95-100,3
הנדסת מערכות מידע,2021,65-70,0
הנדסת מערכות מידע,2021,70-75,0
הנדסת מערכות מידע,2021,75-80,24
הנדסת מערכות מידע,2021,80-85,55
הנדסת מערכות מידע,2021,85-90,43
הנדסת מערכות מידע,2021,90-95,7
הנדסת מערכות מידע,2021,95-100,1
הנדסת מערכות מידע,2022,65-70,0
הנדסת מערכות מידע,2022,70-75,4
הנדסת מערכות מידע,2022,75-80,23
הנדסת מערכות מידע,2022,80-85,63
הנדסת מערכות מידע,2022,85-90,43
הנדסת מערכות מידע,2022,90-95,4
הנדסת מערכות מידע,2022,95-100,1
הנדסת מערכות מידע,2023,65-70,0
הנדסת מערכות מידע,2023,70-75,3
הנדסת מערכות מידע,2023,75-80,20
הנדסת מערכות מידע,2023,80-85,44
הנדסת מערכות מידע,2023,85-90,24
הנדסת מערכות מידע,2023,90-95,10
הנדסת מערכות מידע,2023,95-100,0
הנדסת מערכות מידע,2024,65-70,0
הנדסת מערכות מידע,2024,70-75,0
הנדסת מערכות מידע,2024,75-80,14
הנדסת מערכות מידע,2024,80-85,59
הנדסת מערכות מידע,2024,85-90,27
הנדסת מערכות מידע,2024,90-95,11
הנדסת מערכות מידע,2024,95-100,0
הנדסת מערכות תקשורת,2021,65-70,0
הנדסת מערכות תקשורת,2021,70-75,0
הנדסת מערכות תקשורת,2021,75-80,10
הנדסת מערכות תקשורת,2021,80-85,5
הנדסת מערכות תקשורת,2021,85-90,1
הנדסת מערכות תקשורת,2021,90-95,0
הנדסת מערכות תקשורת,2021,95-100,0
הנדסת מערכות תקשורת,2022,65-70,0
הנדסת מערכות תקשורת,2022,70-75,3
הנדסת מערכות תקשורת,2022,75-80,9
הנדסת מערכות תקשורת,2022,80-85,12
הנדסת מערכות תקשורת,2022,85-90,2
הנדסת מערכות תקשורת,2022,90-95,0
הנדסת מערכות תקשורת,2022,95-100,0
הנדסת מערכות תקשורת,2023,65-70,0
הנדסת מערכות תקשורת,2023,70-75,3
הנדסת מערכות תקשורת,2023,75-80,11
הנדסת מערכות תקשורת,2023,80-85,9
הנדסת מערכות תקשורת,2023,85-90,1
הנדסת מערכות תקשורת,2023,90-95,2
הנדסת מערכות תקשורת,2023,95-100,0
הנדסת מערכות תקשורת,2024,65-70,0
הנדסת מערכות תקשורת,2024,70-75,4
הנדסת מערכות תקשורת,2024,75-80,10
הנדסת מערכות תקשורת,2024,80-85,11
הנדסת מערכות תקשורת,2024,85-90,0
הנדסת מערכות תקשורת,2024,90-95,0
הנדסת מערכות תקשורת,2024,95-100,0
הנדסת נתונים,2023,65-70,0
הנדסת נתונים,2023,70-75,0
הנדסת נתונים,2023,75-80,0
הנדסת נתונים,2023,80-85,17
הנדסת נתונים,2023,85-90,19
הנדסת נתונים,2023,90-95,5
הנדסת נתונים,2023,95-100,0
הנדסת נתונים,2024,65-70,0
הנדסת נתונים,2024,70-75,1
הנדסת נתונים,2024,75-80,11
הנדסת נתונים,2024,80-85,30
הנדסת נתונים,2024,85-90,33
הנדסת נתונים,2024,90-95,9
הנדסת נתונים,2024,95-100,0
הנדסת תוכנה,2021,65-70,0
הנדסת תוכנה,2021,70-75,4
הנדסת תוכנה,2021,75-80,11
הנדסת תוכנה,2021,80-85,28
הנדסת תוכנה,2021,85-90,34
הנדסת תוכנה,2021,90-95,20
הנדסת תוכנה,2021,95-100,3
הנדסת תוכנה,2022,65-70,0
הנדסת תוכנה,2022,70-75,2
הנדסת תוכנה,2022,75-80,14
הנדסת תוכנה,2022,80-85,32
הנדסת תוכנה,2022,85-90,39
הנדסת תוכנה,2022,90-95,8
הנדסת תוכנה,2022,95-100,1
הנדסת תוכנה,2023,65-70,0
הנדסת תוכנה,2023,70-75,1
הנדסת תוכנה,2023,75-80,22
הנדסת תוכנה,2023,80-85,33
הנדסת תוכנה,2023,85-90,25
הנדסת תוכנה,2023,90-95,11
הנדסת תוכנה,2023,95-100,1
הנדסת תוכנה,2024,65-70,0
הנדסת תוכנה,2024,70-75,3
הנדסת תוכנה,2024,75-80,26
הנדסת תוכנה,2024,80-85,39
הנדסת תוכנה,2024,85-90,26
הנדסת תוכנה,2024,90-95,16
הנדסת תוכנה,2024,95-100,1
הנדסת תעשייה וניהול,2021,65-70,0
הנדסת תעשייה וניהול,2021,70-75,21
הנדסת תעשייה וניהול,2021,75-80,78
הנדסת תעשייה וניהול,2021,80-85,99
הנדסת תעשייה וניהול,2021,85-90,31
הנדסת תעשייה וניהול,2021,90-95,7
הנדסת תעשייה וניהול,2021,95-100,0
הנדסת תעשייה וניהול,2022,65-70,0
הנדסת תעשייה וניהול,2022,70-75,16
הנדסת תעשייה וניהול,2022,75-80,62
הנדסת תעשייה וניהול,2022,80-85,86
הנדסת תעשייה וניהול,2022,85-90,32
הנדסת תעשייה וניהול,2022,90-95,4
הנדסת תעשייה וניהול,2022,95-100,0
הנדסת תעשייה וניהול,2023,65-70,0
הנדסת תעשייה וניהול,2023,70-75,7
הנדסת תעשייה וניהול,2023,75-80,49
הנדסת תעשייה וניהול,2023,80-85,104
הנדסת תעשייה וניהול,2023,85-90,36
הנדסת תעשייה וניהול,2023,90-95,10
הנדסת תעשייה וניהול,2023,95-100,0
הנדסת תעשייה וניהול,2024,65-70,0
הנדסת תעשייה וניהול,2024,70-75,7
הנדסת תעשייה וניהול,2024,75-80,71
הנדסת תעשייה וניהול,2024,80-85,95
הנדסת תעשייה וניהול,2024,85-90,56
הנדסת תעשייה וניהול,2024,90-95,7
הנדסת תעשייה וניהול,2024,95-100,0
